Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour
1,60,RL,65.0,8450,Pave,,Reg,Lvl
2,20,RL,80.0,9600,Pave,,Reg,Lvl
3,60,RL,68.0,11250,Pave,,IR1,Lvl
4,70,RL,60.0,9550,Pave,,IR1,Lvl
5,60,RL,84.0,14260,Pave,,IR1,Lvl
6,50,RL,85.0,14115,Pave,,IR1,Lvl
7,20,RL,75.0,10084,Pave,,Reg,Lvl
8,60,RL,,10382,Pave,,IR1,Lvl
9,50,RM,51.0,6120,Pave,,Reg,Lvl
10,190,RL,50.0,7420,Pave,,Reg,Lvl
11,20,RL,70.0,11200,Pave,,Reg,Lvl
12,60,RL,85.0,11924,Pave,,IR1,Lvl
13,20,RL,,12968,Pave,,IR2,Lvl
14,20,RL,91.0,10652,Pave,,IR1,Lvl
15,20,RL,,10920,Pave,,IR1,Lvl
16,45,RM,51.0,6120,Pave,,Reg,Lvl
17,20,RL,,11241,Pave,,IR1,Lvl
18,90,RL,72.0,10791,Pave,,Reg,Lvl
19,20,RL,66.0,13695,Pave,,Reg,Lvl
20,20,RL,70.0,7560,Pave,,Reg,Lvl
21,60,RL,101.0,14215,Pave,,IR1,Lvl
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk
23,20,RL,75.0,9742,Pave,,Reg,Lvl
24,120,RM,44.0,4224,Pave,,Reg,Lvl
25,20,RL,,8246,Pave,,IR1,Lvl
26,20,RL,110.0,14230,Pave,,Reg,Lvl
27,20,RL,60.0,7200,Pave,,Reg,Lvl
28,20,RL,98.0,11478,Pave,,Reg,Lvl
29,20,RL,47.0,16321,Pave,,IR1,Lvl
30,30,RM,60.0,6324,Pave,,IR1,Lvl
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl
32,20,RL,,8544,Pave,,IR1,Lvl
33,20,RL,85.0,11049,Pave,,Reg,Lvl
34,20,RL,70.0,10552,Pave,,IR1,Lvl
35,120,RL,60.0,7313,Pave,,Reg,Lvl
36,60,RL,108.0,13418,Pave,,Reg,Lvl
37,20,RL,112.0,10859,Pave,,Reg,Lvl
38,20,RL,74.0,8532,Pave,,Reg,Lvl
39,20,RL,68.0,7922,Pave,,Reg,Lvl
40,90,RL,65.0,6040,Pave,,Reg,Lvl
41,20,RL,84.0,8658,Pave,,Reg,Lvl
42,20,RL,115.0,16905,Pave,,Reg,Lvl
43,85,RL,,9180,Pave,,IR1,Lvl
44,20,RL,,9200,Pave,,IR1,Lvl
45,20,RL,70.0,7945,Pave,,Reg,Lvl
46,120,RL,61.0,7658,Pave,,Reg,Lvl
47,50,RL,48.0,12822,Pave,,IR1,Lvl
48,20,FV,84.0,11096,Pave,,Reg,Lvl
49,190,RM,33.0,4456,Pave,,Reg,Lvl
50,20,RL,66.0,7742,Pave,,Reg,Lvl
51,60,RL,,13869,Pave,,IR2,Lvl
52,50,RM,52.0,6240,Pave,,Reg,Lvl
53,90,RM,110.0,8472,Grvl,,IR2,Bnk
54,20,RL,68.0,50271,Pave,,IR1,Low
55,80,RL,60.0,7134,Pave,,Reg,Bnk
56,20,RL,100.0,10175,Pave,,IR1,Lvl
57,160,FV,24.0,2645,Pave,Pave,Reg,Lvl
58,60,RL,89.0,11645,Pave,,IR1,Lvl
59,60,RL,66.0,13682,Pave,,IR2,HLS
60,20,RL,60.0,7200,Pave,,Reg,Bnk
61,20,RL,63.0,13072,Pave,,Reg,Lvl
62,75,RM,60.0,7200,Pave,,Reg,Lvl
63,120,RL,44.0,6442,Pave,,IR1,Lvl
64,70,RM,50.0,10300,Pave,,IR1,Bnk
65,60,RL,,9375,Pave,,Reg,Lvl
66,60,RL,76.0,9591,Pave,,Reg,Lvl
67,20,RL,,19900,Pave,,Reg,Lvl
68,20,RL,72.0,10665,Pave,,IR1,Lvl
69,30,RM,47.0,4608,Pave,,Reg,Lvl
70,50,RL,81.0,15593,Pave,,Reg,Lvl
71,20,RL,95.0,13651,Pave,,IR1,Lvl
72,20,RL,69.0,7599,Pave,,Reg,Lvl
73,60,RL,74.0,10141,Pave,,IR1,Lvl
74,20,RL,85.0,10200,Pave,,Reg,Lvl
75,50,RM,60.0,5790,Pave,,Reg,Lvl
76,180,RM,21.0,1596,Pave,,Reg,Lvl
77,20,RL,,8475,Pave,,IR1,Lvl
78,50,RM,50.0,8635,Pave,,Reg,Lvl
79,90,RL,72.0,10778,Pave,,Reg,Lvl
80,50,RM,60.0,10440,Pave,Grvl,Reg,Lvl
81,60,RL,100.0,13000,Pave,,Reg,Lvl
82,120,RM,32.0,4500,Pave,,Reg,Lvl
83,20,RL,78.0,10206,Pave,,Reg,Lvl
84,20,RL,80.0,8892,Pave,,IR1,Lvl
85,80,RL,,8530,Pave,,IR1,Lvl
86,60,RL,121.0,16059,Pave,,Reg,Lvl
87,60,RL,122.0,11911,Pave,,IR2,Lvl
88,160,FV,40.0,3951,Pave,Pave,Reg,Lvl
89,50,C (all),105.0,8470,Pave,,IR1,Lvl
90,20,RL,60.0,8070,Pave,,Reg,Lvl
91,20,RL,60.0,7200,Pave,,Reg,Lvl
92,20,RL,85.0,8500,Pave,,Reg,Lvl
93,30,RL,80.0,13360,Pave,Grvl,IR1,HLS
94,190,C (all),60.0,7200,Pave,,Reg,Lvl
95,60,RL,69.0,9337,Pave,,IR1,Lvl
96,60,RL,,9765,Pave,,IR2,Lvl
97,20,RL,78.0,10264,Pave,,IR1,Lvl
98,20,RL,73.0,10921,Pave,,Reg,HLS
99,30,RL,85.0,10625,Pave,,Reg,Lvl
100,20,RL,77.0,9320,Pave,,IR1,Lvl
101,20,RL,,10603,Pave,,IR1,Lvl
102,60,RL,77.0,9206,Pave,,Reg,Lvl
103,90,RL,64.0,7018,Pave,,Reg,Bnk
104,20,RL,94.0,10402,Pave,,IR1,Lvl
105,50,RM,,7758,Pave,,Reg,Lvl
106,60,FV,75.0,9375,Pave,,Reg,Lvl
107,30,RM,60.0,10800,Pave,Grvl,Reg,Lvl
108,20,RM,50.0,6000,Pave,,Reg,Lvl
109,50,RM,85.0,8500,Pave,,Reg,Lvl
110,20,RL,105.0,11751,Pave,,IR1,Lvl
111,50,RL,75.0,9525,Pave,,Reg,Lvl
112,80,RL,,7750,Pave,,IR1,Lvl
113,60,RL,77.0,9965,Pave,,Reg,Lvl
114,20,RL,,21000,Pave,,Reg,Bnk
115,70,RL,61.0,7259,Pave,,IR1,Lvl
116,160,FV,34.0,3230,Pave,Pave,Reg,Lvl
117,20,RL,,11616,Pave,,Reg,Lvl
118,20,RL,74.0,8536,Pave,,Reg,Lvl
119,60,RL,90.0,12376,Pave,,Reg,Lvl
120,60,RL,65.0,8461,Pave,,Reg,Lvl
121,80,RL,,21453,Pave,,IR1,Low
122,50,RM,50.0,6060,Pave,,Reg,Lvl
123,20,RL,75.0,9464,Pave,,Reg,Lvl
124,120,RL,55.0,7892,Pave,,Reg,Lvl
125,20,RL,48.0,17043,Pave,,IR1,Lvl
126,190,RM,60.0,6780,Pave,,Reg,Lvl
127,120,RL,,4928,Pave,,IR1,Lvl
128,45,RM,55.0,4388,Pave,,IR1,Bnk
129,60,RL,69.0,7590,Pave,,Reg,Lvl
130,20,RL,69.0,8973,Pave,,Reg,Lvl
131,60,RL,88.0,14200,Pave,,Reg,Lvl
132,60,RL,,12224,Pave,,IR1,Lvl
133,20,RL,75.0,7388,Pave,,Reg,Lvl
134,20,RL,,6853,Pave,,IR1,Lvl
135,20,RL,78.0,10335,Pave,,IR1,Lvl
136,20,RL,80.0,10400,Pave,,Reg,Lvl
137,20,RL,,10355,Pave,,IR1,Lvl
138,90,RL,82.0,11070,Pave,,Reg,Lvl
139,60,RL,73.0,9066,Pave,,IR1,Lvl
140,60,RL,65.0,15426,Pave,,IR1,Lvl
141,20,RL,70.0,10500,Pave,,Reg,Lvl
142,20,RL,78.0,11645,Pave,,Reg,Lvl
143,50,RL,71.0,8520,Pave,,Reg,Lvl
144,20,RL,78.0,10335,Pave,,IR1,Lvl
145,90,RM,70.0,9100,Pave,,Reg,Lvl
146,160,RM,24.0,2522,Pave,,Reg,Lvl
147,30,RM,51.0,6120,Pave,,Reg,Lvl
148,60,RL,,9505,Pave,,IR1,Lvl
149,20,RL,63.0,7500,Pave,,Reg,Lvl
150,50,RM,,6240,Pave,,Reg,Lvl
151,20,RL,120.0,10356,Pave,,Reg,Lvl
152,20,RL,107.0,13891,Pave,,Reg,Lvl
153,60,RL,,14803,Pave,,IR1,Lvl
154,20,RL,,13500,Pave,,Reg,Lvl
155,30,RM,84.0,11340,Pave,,Reg,Lvl
156,50,RL,60.0,9600,Pave,,Reg,Lvl
157,20,RL,60.0,7200,Pave,,Reg,Lvl
158,60,RL,92.0,12003,Pave,,Reg,Lvl
159,60,FV,100.0,12552,Pave,,Reg,Lvl
160,60,RL,134.0,19378,Pave,,IR1,HLS
161,20,RL,,11120,Pave,,IR1,Lvl
162,60,RL,110.0,13688,Pave,,IR1,Lvl
163,20,RL,95.0,12182,Pave,,Reg,Lvl
164,45,RL,55.0,5500,Pave,,Reg,Lvl
165,40,RM,40.0,5400,Pave,Pave,Reg,Lvl
166,190,RL,62.0,10106,Pave,,Reg,Lvl
167,20,RL,,10708,Pave,,IR1,Lvl
168,60,RL,86.0,10562,Pave,,Reg,Lvl
169,60,RL,62.0,8244,Pave,,IR1,Lvl
170,20,RL,,16669,Pave,,IR1,Lvl
171,50,RM,,12358,Pave,,IR1,Lvl
172,20,RL,141.0,31770,Pave,,IR1,Lvl
173,160,RL,44.0,5306,Pave,,IR1,Lvl
174,20,RL,80.0,10197,Pave,,IR1,Lvl
175,20,RL,47.0,12416,Pave,,IR1,Lvl
176,20,RL,84.0,12615,Pave,,Reg,Lvl
177,60,RL,97.0,10029,Pave,,IR1,Lvl
178,50,RL,,13650,Pave,,Reg,Lvl
179,20,RL,63.0,17423,Pave,,IR1,Lvl
180,30,RM,60.0,8520,Pave,,Reg,Lvl
181,160,FV,,2117,Pave,,Reg,Lvl
182,70,RL,54.0,7588,Pave,,Reg,Lvl
183,20,RL,60.0,9060,Pave,,Reg,Lvl
184,50,RM,63.0,11426,Pave,,Reg,Lvl
185,50,RL,92.0,7438,Pave,,IR1,Lvl
186,75,RM,90.0,22950,Pave,,IR2,Lvl
187,80,RL,,9947,Pave,,IR1,Lvl
188,50,RL,60.0,10410,Pave,,Reg,Lvl
189,90,RL,64.0,7018,Pave,,Reg,Bnk
190,120,RL,41.0,4923,Pave,,Reg,Lvl
191,70,RL,70.0,10570,Pave,,Reg,Bnk
192,60,RL,,7472,Pave,,IR1,Lvl
193,20,RL,68.0,9017,Pave,,IR1,Lvl
194,160,RM,24.0,2522,Pave,,Reg,Lvl
195,20,RL,60.0,7180,Pave,,IR1,Lvl
196,160,RL,24.0,2280,Pave,,Reg,Lvl
197,20,RL,79.0,9416,Pave,,Reg,Lvl
198,75,RL,174.0,25419,Pave,,Reg,Lvl
199,75,RM,92.0,5520,Pave,,Reg,Lvl
200,20,RL,76.0,9591,Pave,,Reg,Lvl
201,20,RM,80.0,8546,Pave,,Reg,Lvl
202,20,RL,75.0,10125,Pave,,Reg,Lvl
203,50,RL,50.0,7000,Pave,,Reg,Lvl
204,120,RM,,4438,Pave,,Reg,Lvl
205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl
206,20,RL,99.0,11851,Pave,,Reg,Lvl
207,20,RL,40.0,13673,Pave,,IR1,Lvl
208,20,RL,,12493,Pave,,IR1,Lvl
209,60,RL,,14364,Pave,,IR1,Low
210,20,RL,75.0,8250,Pave,,Reg,Lvl
211,30,RL,67.0,5604,Pave,,Reg,Lvl
212,20,RL,83.0,10420,Pave,,Reg,Lvl
213,60,FV,72.0,8640,Pave,,Reg,Lvl
214,20,RL,43.0,13568,Pave,,IR2,Lvl
215,60,RL,,10900,Pave,,IR1,Lvl
216,20,RL,72.0,10011,Pave,,IR1,Lvl
217,20,RL,65.0,8450,Pave,,Reg,Lvl
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl
219,50,RL,,15660,Pave,,IR1,Lvl
220,120,RL,43.0,3010,Pave,,Reg,Lvl
221,20,RL,73.0,8990,Pave,,IR1,Lvl
222,60,RL,,8068,Pave,,IR1,Lvl
223,60,RL,85.0,11475,Pave,,Reg,Lvl
224,20,RL,70.0,10500,Pave,,Reg,Lvl
225,20,RL,103.0,13472,Pave,,Reg,Lvl
226,160,RM,21.0,1680,Pave,,Reg,Lvl
227,60,RL,82.0,9950,Pave,,IR1,Lvl
228,160,RM,21.0,1869,Pave,,Reg,Lvl
229,20,RL,70.0,8521,Pave,,Reg,Lvl
230,120,RL,43.0,3182,Pave,,Reg,Lvl
231,20,RL,73.0,8760,Pave,,Reg,Lvl
232,60,RL,174.0,15138,Pave,,IR1,Lvl
233,160,RM,21.0,1680,Pave,,Reg,Lvl
234,20,RL,75.0,10650,Pave,,Reg,Lvl
235,60,RL,,7851,Pave,,Reg,Lvl
236,160,RM,21.0,1680,Pave,,Reg,Lvl
237,20,RL,65.0,8773,Pave,,Reg,Lvl
238,60,RL,,9453,Pave,,IR1,Lvl
239,20,RL,93.0,12030,Pave,,Reg,Lvl
240,50,RL,52.0,8741,Pave,,Reg,Lvl
241,20,FV,75.0,9000,Pave,,Reg,Lvl
242,30,RM,40.0,3880,Pave,,Reg,Lvl
243,50,RM,63.0,5000,Pave,,Reg,Lvl
244,160,RL,75.0,10762,Pave,,Reg,Lvl
245,60,RL,,8880,Pave,,IR1,Lvl
246,20,RL,80.0,10400,Pave,,Reg,Lvl
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl
248,20,RL,75.0,11310,Pave,,Reg,Lvl
249,60,RL,72.0,11317,Pave,,Reg,Lvl
250,50,RL,,159000,Pave,,IR2,Low
251,30,RL,55.0,5350,Pave,,IR1,Lvl
252,120,RM,44.0,4750,Pave,,IR1,HLS
253,60,RL,65.0,8366,Pave,,IR1,Lvl
254,80,RL,85.0,9350,Pave,,Reg,Lvl
255,20,RL,70.0,8400,Pave,,Reg,Lvl
256,60,RL,66.0,8738,Pave,,IR1,Lvl
257,60,FV,64.0,8791,Pave,,IR1,Lvl
258,20,RL,68.0,8814,Pave,,Reg,Lvl
259,60,RL,80.0,12435,Pave,,Reg,Lvl
260,20,RM,70.0,12702,Pave,,Reg,Lvl
261,80,RL,120.0,19296,Pave,,Reg,Lvl
262,60,RL,69.0,9588,Pave,,IR1,Lvl
263,80,RL,88.0,8471,Pave,,IR1,Lvl
264,50,RM,50.0,5500,Pave,,Reg,Lvl
265,30,RM,30.0,5232,Pave,Grvl,IR3,Bnk
266,20,RL,78.0,12090,Pave,,IR1,Lvl
267,60,RL,70.0,11207,Pave,,IR1,HLS
268,75,RL,60.0,8400,Pave,,Reg,Bnk
269,30,RM,71.0,6900,Pave,,Reg,Lvl
270,20,RL,,7917,Pave,,IR1,Lvl
271,60,FV,84.0,10728,Pave,,Reg,Lvl
272,20,RL,73.0,39104,Pave,,IR1,Low
273,60,RL,92.0,11764,Pave,,IR1,Lvl
274,20,RL,80.0,9600,Pave,,Reg,Lvl
275,20,RL,76.0,8314,Pave,,Reg,Lvl
276,50,RL,55.0,7264,Pave,,Reg,Lvl
277,20,RL,129.0,9196,Pave,,IR1,Lvl
278,20,RL,140.0,19138,Pave,,Reg,Lvl
279,20,RL,107.0,14450,Pave,,Reg,Lvl
280,60,RL,83.0,10005,Pave,,Reg,Lvl
281,60,RL,82.0,11287,Pave,,Reg,Lvl
282,20,FV,60.0,7200,Pave,Pave,Reg,Lvl
283,120,RL,34.0,5063,Pave,,Reg,Lvl
284,20,RL,74.0,9612,Pave,,Reg,Lvl
285,120,RL,50.0,8012,Pave,,Reg,Lvl
286,160,FV,35.0,4251,Pave,Pave,IR1,Lvl
287,50,RL,77.0,9786,Pave,,IR1,Bnk
288,20,RL,,8125,Pave,,IR1,Lvl
289,20,RL,,9819,Pave,,IR1,Lvl
290,70,RL,60.0,8730,Pave,,Reg,Lvl
291,60,RL,120.0,15611,Pave,,Reg,Lvl
292,190,RL,55.0,5687,Pave,Grvl,Reg,Bnk
293,50,RL,60.0,11409,Pave,,Reg,Lvl
294,60,RL,,16659,Pave,,IR1,Lvl
295,20,RL,80.0,9600,Pave,,Reg,Lvl
296,80,RL,37.0,7937,Pave,,IR1,Lvl
297,50,RM,75.0,13710,Pave,,Reg,Lvl
298,60,FV,66.0,7399,Pave,Pave,IR1,Lvl
299,60,RL,90.0,11700,Pave,,Reg,Lvl
300,20,RL,80.0,14000,Pave,,Reg,Lvl
301,190,RL,90.0,15750,Pave,,Reg,Lvl
302,60,RL,66.0,16226,Pave,,IR3,Lvl
303,20,RL,118.0,13704,Pave,,IR1,Lvl
304,20,RL,70.0,9800,Pave,,Reg,Lvl
305,75,RM,87.0,18386,Pave,,Reg,Lvl
306,20,RL,80.0,10386,Pave,,Reg,Lvl
307,60,RL,116.0,13474,Pave,,Reg,Lvl
308,50,RM,,7920,Pave,Grvl,IR1,Lvl
309,30,RL,,12342,Pave,,IR1,Lvl
310,20,RL,90.0,12378,Pave,,IR1,Lvl
311,60,RL,,7685,Pave,,IR1,Lvl
312,20,RL,50.0,8000,Pave,,Reg,Lvl
313,190,RM,65.0,7800,Pave,,Reg,Lvl
314,20,RL,150.0,215245,Pave,,IR3,Low
315,70,RM,60.0,9600,Pave,Grvl,Reg,Lvl
316,60,RL,71.0,7795,Pave,,IR1,Lvl
317,60,RL,94.0,13005,Pave,,IR1,Lvl
318,60,FV,75.0,9000,Pave,,Reg,Lvl
319,60,RL,90.0,9900,Pave,,Reg,Low
320,80,RL,,14115,Pave,,Reg,Lvl
321,60,RL,111.0,16259,Pave,,Reg,Lvl
322,60,RL,99.0,12099,Pave,,IR1,Lvl
323,60,RL,86.0,10380,Pave,,IR1,Lvl
324,20,RM,49.0,5820,Pave,,Reg,Lvl
325,80,RL,96.0,11275,Pave,,Reg,Lvl
326,45,RM,50.0,5000,Pave,,Reg,Lvl
327,120,RL,32.0,10846,Pave,,IR1,Lvl
328,20,RL,80.0,11600,Pave,,Reg,Lvl
329,75,RL,,11888,Pave,Pave,IR1,Bnk
330,70,RM,60.0,6402,Pave,,Reg,Lvl
331,90,RL,,10624,Pave,,IR1,Lvl
332,20,RL,70.0,8176,Pave,,Reg,Lvl
333,20,RL,85.0,10655,Pave,,IR1,Lvl
334,120,RM,59.0,8198,Pave,,Reg,Lvl
335,60,RL,59.0,9042,Pave,,IR1,Lvl
336,190,RL,,164660,Grvl,,IR1,HLS
337,20,RL,86.0,14157,Pave,,IR1,HLS
338,20,RL,70.0,9135,Pave,,Reg,Lvl
339,20,RL,91.0,14145,Pave,,Reg,Lvl
340,20,RL,66.0,12400,Pave,,IR1,Lvl
341,60,RL,85.0,14191,Pave,,Reg,Lvl
342,20,RH,60.0,8400,Pave,,Reg,Lvl
343,90,RL,,8544,Pave,,Reg,Lvl
344,120,RL,63.0,8849,Pave,,IR1,Lvl
345,160,RM,36.0,2592,Pave,,Reg,Lvl
346,50,RL,65.0,6435,Pave,,Reg,Lvl
347,20,RL,,12772,Pave,,IR1,Lvl
348,20,RL,,17600,Pave,,IR1,Lvl
349,160,RL,36.0,2448,Pave,,Reg,Lvl
350,60,RL,56.0,20431,Pave,,IR2,Lvl
351,120,RL,68.0,7820,Pave,,IR1,Lvl
352,120,RL,,5271,Pave,,IR1,Low
353,50,RL,60.0,9084,Pave,,Reg,Lvl
354,30,RM,60.0,8520,Pave,,Reg,Lvl
355,50,RL,60.0,8400,Pave,,Reg,Bnk
356,20,RL,105.0,11249,Pave,,IR2,Lvl
357,20,RL,,9248,Pave,,IR1,Lvl
358,120,RM,44.0,4224,Pave,,Reg,Lvl
359,80,RL,92.0,6930,Pave,,IR1,Lvl
360,60,RL,78.0,12011,Pave,,IR1,Lvl
361,85,RL,,7540,Pave,,IR1,Lvl
362,50,RL,,9144,Pave,Pave,Reg,Lvl
363,85,RL,64.0,7301,Pave,,Reg,Lvl
364,160,RM,21.0,1680,Pave,,Reg,Lvl
365,60,RL,,18800,Pave,,IR1,Lvl
366,70,RM,59.0,10690,Pave,,Reg,Lvl
367,20,RL,,9500,Pave,,IR1,Lvl
368,80,RL,101.0,9150,Pave,,IR1,Lvl
